Demand,Stock,CompetitorPrice,Season,DayTime,CustomerRating,Discount,HistoricalSales,Distance_km,SurgeMultiplier,Price
302,145,219.95,Festival,Evening Peak,3.78,0.0,124,8.06,1.563,268.22
246,153,211.75,Normal,Morning Peak,4.65,0.1,148,8.56,1.234,224.19
225,137,389.83,Normal,Evening Peak,4.44,0.0,141,18.24,1.257,439.37
135,127,154.92,Wedding,Midday,4.62,0.1,96,5.07,1.0,136.97
104,205,233.12,Exam,Morning Peak,4.19,0.0,84,8.6,1.0,198.79
104,101,88.49,Monsoon,Night,4.69,0.3,89,2.84,1.0,64.74
297,115,459.72,Normal,Evening Peak,4.33,0.3,156,21.36,1.906,449.07
81,233,352.92,Normal,Midday,4.11,0.3,86,18.39,1.0,294.2
84,72,256.43,Monsoon,Night,4.04,0.3,74,11.5,1.0,191.75
205,160,248.94,Normal,Morning Peak,3.51,0.0,151,11.32,1.008,247.54
124,172,133.79,Normal,Morning Peak,4.77,0.1,74,4.99,1.0,126.26
271,202,250.94,Normal,Evening Peak,4.72,0.3,175,10.23,1.051,201.03
176,187,487.26,Normal,Evening Peak,5.0,0.3,93,22.76,1.0,365.87
213,171,128.56,Wedding,Midday,4.17,0.1,181,4.33,1.0,101.64
139,109,403.2,Normal,Morning Peak,4.03,0.1,96,19.36,1.001,370.91
76,96,111.16,Monsoon,Night,3.62,0.2,77,2.13,1.0,80.28
99,267,163.34,Normal,Midday,4.68,0.1,96,8.48,1.0,169.95
243,144,440.05,Normal,Morning Peak,4.59,0.1,131,21.33,1.289,443.37
159,147,250.52,Normal,Midday,4.92,0.1,171,11.68,1.0,238.65
122,158,366.42,Normal,Night,3.93,0.2,173,17.86,1.0,310.73
184,135,98.88,Exam,Morning Peak,4.59,0.1,128,3.49,1.063,90.75
311,84,386.07,Monsoon,Evening Peak,4.09,0.0,162,17.4,2.674,640.66
203,93,439.3,Wedding,Evening Peak,4.84,0.3,95,20.66,1.627,415.81
114,168,410.55,Wedding,Midday,4.51,0.0,101,20.33,1.0,409.33
297,142,262.07,Festival,Evening Peak,3.68,0.2,137,11.53,1.569,287.04
92,114,465.6,Wedding,Late Night,4.25,0.2,128,22.7,1.0,403.62
136,218,318.59,Normal,Midday,3.52,0.2,116,14.8,1.0,280.13
241,108,437.63,Normal,Morning Peak,3.83,0.2,185,20.63,1.662,463.92
75,185,137.41,Normal,Night,3.86,0.2,104,6.12,1.0,132.29
286,130,179.26,Normal,Evening Peak,4.04,0.3,128,6.05,1.643,217.49
164,267,378.11,Normal,Midday,4.19,0.1,179,19.1,1.0,344.48
187,150,355.61,Normal,Evening Peak,4.37,0.0,97,16.52,1.0,339.14
360,158,398.7,Monsoon,Evening Peak,4.35,0.0,162,17.23,1.7,492.22
171,181,147.33,Normal,Evening Peak,4.29,0.1,98,6.68,1.0,157.34
102,150,222.74,Normal,Night,4.43,0.2,151,10.59,1.0,211.54
152,271,137.96,Normal,Midday,3.8,0.1,128,7.2,1.0,142.56
158,134,82.28,Normal,Midday,4.33,0.2,127,2.64,1.0,74.28
274,153,176.54,Monsoon,Evening Peak,4.87,0.3,134,5.89,1.361,162.55
156,204,478.29,Normal,Midday,4.23,0.0,125,24.88,1.0,489.44
212,161,163.8,Exam,Evening Peak,4.5,0.0,166,6.62,1.032,144.54
168,183,148.56,Monsoon,Midday,4.46,0.3,115,4.82,1.0,105.19
184,134,387.53,Normal,Morning Peak,4.64,0.3,121,17.73,1.07,316.02
103,166,315.79,Normal,Midday,4.41,0.2,102,15.45,1.0,284.72
280,138,412.27,Monsoon,Evening Peak,4.64,0.1,117,18.9,1.525,439.92
241,98,344.96,Monsoon,Evening Peak,4.5,0.2,92,16.69,1.818,404.99
109,143,150.78,Monsoon,Midday,4.56,0.2,100,6.35,1.0,126.58
160,90,277.87,Monsoon,Morning Peak,4.48,0.0,102,13.02,1.346,331.59
110,221,123.22,Normal,Midday,3.9,0.2,101,5.24,1.0,108.42
243,185,191.25,Normal,Evening Peak,3.83,0.1,153,7.08,1.031,159.04
83,156,482.42,Normal,Midday,4.16,0.2,96,24.69,1.0,423.48
269,171,395.23,Wedding,Evening Peak,4.92,0.0,137,18.49,1.211,413.36
124,148,414.32,Festival,Midday,4.23,0.1,96,19.79,1.0,372.82
146,233,95.67,Normal,Midday,4.42,0.1,142,1.72,1.0,84.78
181,198,200.45,Normal,Evening Peak,3.51,0.0,114,10.17,1.0,202.12
246,146,343.86,Normal,Morning Peak,4.38,0.0,161,14.33,1.287,371.03
117,144,134.93,Normal,Midday,4.33,0.2,130,4.59,1.0,108.16
224,126,442.22,Monsoon,Morning Peak,3.23,0.0,145,21.37,1.35,496.85
306,101,153.5,Festival,Morning Peak,4.42,0.3,154,4.35,2.213,238.27
140,213,326.76,Wedding,Midday,3.64,0.0,117,16.28,1.0,332.14
130,224,301.43,Normal,Midday,4.01,0.3,143,14.28,1.0,238.33
250,207,433.65,Normal,Evening Peak,4.7,0.0,156,21.38,1.0,420.01
298,138,212.82,Monsoon,Evening Peak,4.36,0.3,129,8.48,1.616,227.25
181,121,208.49,Monsoon,Evening Peak,4.12,0.3,97,7.82,1.154,175.6
114,205,464.83,Festival,Midday,4.09,0.0,94,21.31,1.0,435.93
308,114,206.18,Monsoon,Evening Peak,4.13,0.1,157,6.31,1.989,313.6
311,123,420.93,Normal,Evening Peak,4.36,0.1,139,18.9,1.87,503.81
126,179,142.59,Normal,Midday,3.82,0.3,131,5.59,1.0,115.28
214,147,436.46,Normal,Evening Peak,4.75,0.1,135,22.02,1.128,427.05
69,112,424.4,Normal,Night,3.84,0.0,98,21.14,1.0,427.82
202,220,409.83,Normal,Morning Peak,3.61,0.3,154,19.9,1.0,326.05
124,184,268.53,Normal,Night,4.7,0.2,181,12.8,1.0,234.13
279,128,95.18,Festival,Morning Peak,4.13,0.3,154,1.81,1.629,134.01
163,136,116.9,Normal,Midday,4.33,0.2,187,4.18,1.0,101.67
156,152,259.86,Normal,Midday,4.56,0.2,132,11.96,1.0,209.34
198,165,93.88,Wedding,Evening Peak,4.01,0.3,78,2.05,1.0,73.14
229,218,89.26,Normal,Morning Peak,4.35,0.2,124,2.52,1.0,76.58
105,147,109.81,Normal,Night,4.56,0.1,125,4.01,1.0,108.08
100,129,167.08,Monsoon,Night,4.96,0.2,116,7.26,1.0,148.81
268,141,398.53,Normal,Evening Peak,4.1,0.1,133,18.98,1.436,429.12
105,221,94.58,Normal,Midday,4.11,0.3,93,2.15,1.0,61.16
85,150,471.53,Normal,Night,4.53,0.2,87,24.61,1.0,411.75
124,118,161.95,Normal,Night,4.38,0.2,160,7.57,1.0,143.63
171,196,183.29,Wedding,Midday,4.25,0.1,142,8.68,1.0,186.26
302,112,189.72,Monsoon,Evening Peak,4.94,0.1,114,6.95,1.985,306.11
299,87,356.04,Festival,Evening Peak,3.63,0.3,113,15.46,2.491,441.01
343,166,99.31,Wedding,Evening Peak,3.73,0.3,153,1.47,1.553,130.85
200,116,98.48,Monsoon,Midday,3.63,0.2,193,3.25,1.312,130.57
94,170,111.02,Normal,Midday,4.78,0.0,80,3.37,1.0,103.02
325,177,378.63,Wedding,Morning Peak,4.51,0.2,180,16.95,1.393,364.59
92,221,186.96,Normal,Midday,3.75,0.2,83,8.91,1.0,158.68
315,86,294.65,Monsoon,Evening Peak,4.25,0.3,149,11.5,2.647,398.59
110,77,459.8,Wedding,Late Night,4.29,0.3,181,23.8,1.103,390.2
62,112,115.88,Normal,Late Night,3.42,0.2,99,5.8,1.0,120.58
284,153,105.87,Normal,Evening Peak,4.38,0.1,136,2.68,1.406,147.51
189,113,254.51,Normal,Evening Peak,3.83,0.3,113,11.59,1.276,237.9
202,195,128.69,Normal,Morning Peak,4.58,0.2,118,4.94,1.0,113.05
220,142,129.42,Monsoon,Evening Peak,3.84,0.0,114,4.47,1.193,147.92
230,137,255.76,Wedding,Morning Peak,4.39,0.2,128,10.84,1.282,247.12
176,222,366.73,Normal,Midday,4.82,0.0,200,17.07,1.0,356.26
180,187,164.83,Normal,Evening Peak,4.69,0.0,108,6.83,1.0,152.22
93,192,431.57,Normal,Midday,4.5,0.0,99,22.02,1.0,432.93
138,198,195.24,Normal,Morning Peak,4.27,0.2,104,9.7,1.0,182.29
88,117,485.13,Normal,Night,3.7,0.3,107,23.42,1.0,368.95
91,160,267.51,Normal,Midday,4.12,0.1,105,12.82,1.0,257.81
276,121,393.13,Wedding,Morning Peak,4.21,0.1,169,18.44,1.698,451.33
196,112,436.47,Normal,Morning Peak,4.18,0.2,144,21.38,1.33,412.52
153,260,260.04,Normal,Midday,3.69,0.2,137,13.71,1.0,233.5
181,112,429.71,Monsoon,Morning Peak,4.47,0.0,98,21.41,1.237,469.88
226,116,252.97,Normal,Evening Peak,3.83,0.3,121,10.07,1.467,253.15
88,179,203.41,Exam,Midday,4.92,0.2,105,9.72,1.0,176.19
116,155,402.71,Exam,Night,4.36,0.1,184,20.06,1.0,372.38
225,119,166.93,Normal,Morning Peak,4.69,0.2,120,6.79,1.428,200.22
114,224,372.38,Normal,Midday,4.68,0.3,100,18.21,1.0,295.69
309,140,122.18,Normal,Evening Peak,5.0,0.3,181,2.85,1.649,150.02
286,107,343.85,Normal,Evening Peak,4.37,0.2,149,16.26,1.968,421.25
271,115,488.07,Normal,Evening Peak,4.14,0.2,134,23.61,1.75,521.53
145,106,268.49,Festival,Night,4.15,0.3,141,11.96,1.065,230.58
138,250,253.56,Normal,Midday,4.9,0.3,156,10.98,1.0,179.57
152,239,326.05,Normal,Midday,3.77,0.0,177,13.97,1.0,304.89
79,141,379.93,Normal,Night,3.95,0.2,114,18.27,1.0,319.27
191,126,228.87,Wedding,Morning Peak,4.39,0.2,106,9.61,1.169,223.63
142,126,60.7,Normal,Morning Peak,4.24,0.2,112,1.0,1.0,61.16
141,273,275.43,Normal,Midday,4.69,0.1,164,13.05,1.0,255.51
194,147,252.07,Normal,Evening Peak,3.76,0.0,95,11.06,1.034,259.99
150,213,303.95,Exam,Midday,4.27,0.3,156,13.78,1.0,224.51
256,114,407.27,Normal,Morning Peak,4.23,0.0,168,18.17,1.673,488.93
135,129,201.09,Monsoon,Midday,3.87,0.1,105,7.8,1.0,173.34
345,156,292.2,Monsoon,Evening Peak,4.65,0.0,189,13.13,1.653,387.71
83,168,162.15,Normal,Midday,4.26,0.1,90,7.08,1.0,147.58
160,110,252.97,Monsoon,Midday,4.25,0.0,127,12.02,1.125,289.3
235,204,234.02,Normal,Evening Peak,3.97,0.0,116,9.27,1.0,214.33
198,123,243.2,Festival,Night,4.15,0.0,196,9.86,1.233,248.73
274,122,331.52,Festival,Evening Peak,3.89,0.2,116,14.9,1.674,371.69
248,193,378.3,Normal,Evening Peak,4.65,0.3,145,17.55,1.011,303.46
143,160,50.0,Normal,Midday,4.71,0.0,164,1.3,1.0,61.95
140,135,427.01,Monsoon,Midday,4.97,0.2,105,22.04,1.0,387.82
109,235,177.82,Normal,Midday,4.47,0.2,93,9.74,1.0,178.08
139,103,353.54,Normal,Night,4.16,0.2,200,16.45,1.052,316.48
122,261,74.25,Normal,Midday,4.11,0.1,99,3.94,1.0,88.84
195,141,315.26,Festival,Night,4.5,0.0,209,14.71,1.077,324.78
81,81,344.1,Monsoon,Late Night,4.38,0.3,121,17.28,1.0,284.88
265,174,140.71,Normal,Morning Peak,4.23,0.0,179,4.78,1.176,164.43
241,216,446.88,Normal,Morning Peak,4.2,0.0,187,22.89,1.0,451.02
127,144,378.9,Normal,Morning Peak,4.77,0.3,81,19.18,1.0,313.77
114,174,272.75,Festival,Midday,4.13,0.2,74,13.81,1.0,241.3
178,183,119.11,Normal,Morning Peak,4.84,0.0,96,4.99,1.0,117.09
150,115,447.61,Monsoon,Night,4.37,0.2,182,21.77,1.021,381.89
175,176,75.8,Normal,Morning Peak,4.15,0.2,119,2.65,1.0,81.73
124,161,105.63,Wedding,Midday,3.99,0.2,81,3.76,1.0,92.58
195,168,371.42,Normal,Morning Peak,4.24,0.3,145,17.76,1.0,281.63
84,160,162.88,Normal,Night,4.5,0.2,97,7.09,1.0,145.01
208,124,280.05,Normal,Evening Peak,4.15,0.0,93,12.02,1.28,309.58
109,146,269.82,Wedding,Night,4.64,0.2,101,13.93,1.0,230.01
102,98,257.8,Wedding,Late Night,4.13,0.1,174,12.0,1.0,252.66
139,215,72.37,Normal,Midday,4.25,0.1,156,3.01,1.0,88.42
214,151,367.81,Monsoon,Midday,3.79,0.1,177,18.7,1.102,365.05
300,132,183.24,Monsoon,Morning Peak,4.52,0.2,196,6.76,1.694,250.12
140,154,380.11,Festival,Midday,4.19,0.0,119,18.72,1.0,369.27
259,123,442.73,Normal,Evening Peak,4.93,0.0,120,21.77,1.577,517.25
211,214,308.05,Normal,Morning Peak,4.58,0.2,115,13.87,1.0,256.66
181,136,383.67,Normal,Morning Peak,4.33,0.2,122,17.95,1.041,316.12
409,154,90.63,Wedding,Evening Peak,4.79,0.3,181,1.89,1.961,172.9
332,175,126.08,Wedding,Evening Peak,4.46,0.2,115,1.88,1.436,145.05
388,146,220.55,Festival,Evening Peak,4.7,0.1,146,5.73,1.962,294.52
137,272,201.08,Normal,Midday,3.96,0.3,147,9.6,1.0,163.49
128,90,130.01,Normal,Night,4.48,0.3,150,5.39,1.101,124.43
169,120,344.71,Monsoon,Midday,4.5,0.2,132,16.24,1.094,309.31
284,143,205.39,Wedding,Morning Peak,3.68,0.2,164,7.65,1.496,236.58
252,112,459.76,Wedding,Evening Peak,4.9,0.3,88,21.3,1.676,422.39
58,64,281.79,Monsoon,Late Night,3.84,0.3,112,14.45,1.0,245.92
369,117,277.01,Festival,Morning Peak,3.78,0.3,143,10.07,2.302,338.76
84,227,430.21,Normal,Midday,3.16,0.3,67,22.43,1.0,364.32
145,137,401.58,Normal,Midday,4.49,0.3,139,20.88,1.0,334.45
171,120,446.56,Wedding,Morning Peak,3.64,0.0,70,20.68,1.105,439.75
134,127,401.34,Festival,Night,4.09,0.3,103,18.48,1.0,305.53
104,227,311.21,Normal,Midday,4.64,0.3,97,15.74,1.0,263.47
293,179,238.65,Normal,Evening Peak,4.38,0.0,153,9.8,1.255,258.55
332,85,312.6,Monsoon,Evening Peak,4.05,0.1,130,11.14,2.814,525.32
163,127,369.08,Normal,Evening Peak,3.66,0.1,100,16.53,1.008,323.63
216,130,182.07,Normal,Morning Peak,4.26,0.1,144,5.15,1.27,177.18
167,215,408.78,Normal,Midday,4.64,0.1,182,20.87,1.0,384.38
288,116,485.79,Monsoon,Morning Peak,4.58,0.2,154,23.53,1.837,520.54
114,132,84.6,Monsoon,Midday,5.0,0.2,77,3.35,1.0,79.71
134,220,86.26,Normal,Midday,4.04,0.3,156,1.54,1.0,63.01
112,95,137.2,Monsoon,Night,3.77,0.3,99,4.42,1.0,100.44
122,232,375.19,Normal,Midday,4.42,0.1,104,19.24,1.0,351.28
156,133,115.76,Normal,Evening Peak,4.38,0.1,79,3.59,1.0,106.03
158,132,218.65,Monsoon,Midday,4.3,0.0,133,9.93,1.0,208.55
352,156,117.75,Festival,Evening Peak,4.0,0.0,129,2.51,1.684,219.27
100,57,234.56,Monsoon,Late Night,3.24,0.0,176,11.38,1.322,289.5
178,181,317.93,Monsoon,Midday,3.9,0.1,151,15.49,1.0,299.83
139,140,302.88,Festival,Night,4.52,0.0,132,16.08,1.0,312.48
158,160,275.52,Normal,Evening Peak,4.41,0.3,73,13.45,1.0,226.41
116,148,500.69,Normal,Night,4.69,0.1,171,23.51,1.0,453.0
322,159,302.42,Normal,Evening Peak,4.44,0.2,170,13.75,1.524,326.15
102,212,432.75,Normal,Midday,4.59,0.1,110,21.62,1.0,401.94
93,261,464.11,Exam,Midday,4.61,0.2,89,24.83,1.0,400.5
169,131,168.34,Normal,Morning Peak,4.31,0.2,127,6.51,1.012,135.61
148,216,135.15,Wedding,Midday,4.31,0.1,117,7.37,1.0,142.69
88,82,300.84,Festival,Late Night,3.14,0.0,103,13.52,1.0,291.11
345,90,163.37,Monsoon,Evening Peak,4.04,0.3,130,5.38,2.766,325.88
100,232,301.3,Normal,Midday,4.05,0.1,93,14.54,1.0,278.16
163,116,380.01,Festival,Night,4.26,0.0,130,17.43,1.091,380.84
210,158,82.93,Normal,Evening Peak,3.93,0.2,139,2.45,1.041,79.43
132,218,361.75,Normal,Midday,4.68,0.2,135,17.35,1.0,324.76
205,99,143.48,Monsoon,Morning Peak,3.95,0.2,106,4.83,1.55,176.13
265,133,221.14,Normal,Morning Peak,4.74,0.2,195,8.18,1.499,239.81
74,132,362.64,Normal,Night,3.92,0.1,95,18.73,1.0,332.97
178,82,141.49,Festival,Night,4.06,0.3,152,4.93,1.616,175.05
137,191,274.97,Normal,Midday,4.03,0.2,115,13.76,1.0,250.89
191,150,325.08,Wedding,Midday,4.1,0.0,121,15.14,1.002,302.77
232,174,130.07,Exam,Evening Peak,4.77,0.0,127,4.94,1.044,143.81
121,150,164.16,Wedding,Night,4.17,0.3,107,7.59,1.0,136.33
169,128,343.18,Normal,Evening Peak,4.18,0.3,110,15.56,1.033,271.75
239,167,255.68,Normal,Evening Peak,4.0,0.3,123,12.07,1.112,209.56
187,215,367.07,Wedding,Midday,4.2,0.2,119,16.84,1.0,314.97
89,267,398.76,Normal,Midday,4.39,0.1,97,21.51,1.0,390.91
76,205,94.41,Exam,Midday,4.21,0.2,100,4.24,1.0,92.75
118,172,101.21,Exam,Night,4.24,0.2,160,2.7,1.0,91.05
149,149,352.14,Wedding,Midday,4.71,0.0,126,17.0,1.0,355.27
141,103,426.47,Normal,Night,4.41,0.1,149,19.5,1.065,393.84
136,165,249.69,Normal,Midday,3.84,0.1,144,11.78,1.0,228.54
121,91,263.89,Wedding,Night,4.27,0.0,123,10.45,1.037,248.56
160,238,301.96,Normal,Midday,4.08,0.0,165,15.32,1.0,324.01
147,248,299.56,Normal,Midday,4.51,0.0,126,14.23,1.0,298.13
292,81,301.65,Festival,Evening Peak,4.34,0.3,116,12.76,2.605,399.32
189,110,429.83,Wedding,Morning Peak,4.75,0.1,87,20.65,1.307,428.24
113,91,143.13,Monsoon,Night,4.0,0.0,111,5.16,1.0,136.68
289,148,375.58,Festival,Evening Peak,4.22,0.0,131,17.35,1.473,441.16
119,132,384.42,Normal,Midday,3.87,0.0,106,18.79,1.0,372.69
96,117,453.11,Festival,Night,4.28,0.2,77,22.63,1.0,394.77
105,110,454.79,Exam,Night,3.69,0.1,151,23.68,1.0,442.37
98,215,263.57,Normal,Midday,4.43,0.1,88,13.19,1.0,251.61
92,146,254.61,Normal,Night,4.28,0.3,121,11.41,1.0,196.81
169,120,266.43,Wedding,Morning Peak,4.36,0.2,86,13.09,1.094,238.4
275,150,416.2,Monsoon,Morning Peak,4.62,0.1,169,18.58,1.39,421.6
248,123,82.69,Monsoon,Evening Peak,4.39,0.3,130,1.41,1.515,107.94
180,109,149.01,Monsoon,Midday,3.79,0.3,152,5.18,1.261,146.05
171,217,467.72,Normal,Midday,4.08,0.0,164,22.78,1.0,469.84
120,226,130.64,Normal,Midday,4.27,0.3,125,5.69,1.0,123.41
146,188,161.31,Monsoon,Midday,4.17,0.3,122,6.48,1.0,122.82
154,90,460.91,Monsoon,Night,4.22,0.2,152,23.55,1.3,444.13
271,86,247.58,Wedding,Evening Peak,4.95,0.0,112,8.06,2.294,428.92
93,92,209.75,Wedding,Late Night,4.34,0.0,163,7.97,1.0,189.71
239,146,483.43,Normal,Evening Peak,4.45,0.0,140,23.17,1.254,504.44
172,178,234.27,Normal,Midday,3.5,0.3,181,10.0,1.0,188.14
198,198,279.93,Monsoon,Midday,4.6,0.0,179,12.85,1.0,271.66
141,117,308.44,Festival,Midday,5.0,0.1,120,14.45,1.0,284.38
120,132,425.8,Monsoon,Night,4.84,0.2,126,21.84,1.0,369.85
223,103,122.56,Monsoon,Morning Peak,4.12,0.2,129,2.86,1.616,178.66
217,154,172.95,Wedding,Midday,5.0,0.3,165,7.26,1.096,150.8
83,107,318.14,Normal,Night,4.31,0.0,97,15.09,1.0,322.65
178,210,261.15,Normal,Evening Peak,4.42,0.2,106,11.43,1.0,221.7
109,215,177.6,Normal,Midday,4.19,0.3,117,7.68,1.0,145.62
272,112,253.34,Festival,Morning Peak,4.18,0.3,134,10.83,1.799,289.29
120,99,498.23,Normal,Night,3.4,0.2,124,24.19,1.0,436.18
65,183,50.0,Normal,Night,4.61,0.0,66,1.5,1.0,66.31
149,170,132.45,Normal,Midday,4.18,0.0,167,4.53,1.0,122.39
159,259,50.0,Normal,Midday,4.22,0.1,134,1.45,1.0,51.72
174,117,350.44,Festival,Night,4.41,0.1,148,15.24,1.148,323.56
154,147,64.36,Normal,Evening Peak,4.13,0.0,76,1.31,1.0,69.64
86,175,242.24,Normal,Night,4.41,0.1,121,11.9,1.0,235.73
160,134,433.14,Monsoon,Midday,4.78,0.1,115,21.62,1.0,410.95
123,137,110.57,Normal,Night,4.46,0.2,149,3.33,1.0,73.73
81,248,198.24,Normal,Midday,4.24,0.0,94,9.76,1.0,202.62
250,128,209.49,Normal,Morning Peak,4.25,0.2,196,10.07,1.472,253.96
226,119,220.79,Monsoon,Evening Peak,4.38,0.2,107,9.69,1.434,246.99
124,228,382.43,Normal,Midday,3.97,0.3,134,18.46,1.0,322.91
148,78,79.51,Festival,Night,4.38,0.0,109,1.11,1.427,132.38
175,148,391.68,Normal,Morning Peak,4.57,0.2,100,19.72,1.0,354.74
70,91,431.11,Normal,Night,4.34,0.1,75,21.14,1.0,400.38
179,190,297.29,Normal,Midday,4.13,0.3,202,11.36,1.0,199.9
268,203,462.47,Normal,Evening Peak,4.19,0.1,167,22.29,1.036,432.45
279,93,244.39,Festival,Morning Peak,4.56,0.3,129,10.14,2.191,316.26
272,117,380.74,Monsoon,Evening Peak,3.86,0.1,128,17.67,1.728,442.58
264,142,230.38,Exam,Evening Peak,3.97,0.1,164,10.33,1.408,284.23
157,246,86.33,Normal,Midday,3.66,0.1,157,1.91,1.0,79.76
190,130,80.65,Normal,Morning Peak,4.31,0.2,103,3.0,1.131,96.44
188,142,266.16,Monsoon,Midday,4.64,0.0,161,11.61,1.036,256.29
125,168,453.94,Normal,Night,4.83,0.3,160,24.76,1.0,407.94
103,195,135.25,Normal,Midday,4.92,0.2,97,5.26,1.0,116.51
161,141,460.89,Normal,Midday,4.02,0.3,180,22.49,1.0,370.91
81,270,444.02,Normal,Midday,4.4,0.2,84,23.07,1.0,386.21
119,174,240.42,Exam,Night,4.14,0.3,172,10.83,1.0,202.2
202,166,296.28,Monsoon,Midday,4.96,0.3,159,12.08,1.0,207.2
197,117,269.45,Monsoon,Morning Peak,4.82,0.1,100,13.07,1.284,280.39
180,163,419.14,Normal,Evening Peak,4.37,0.3,112,19.49,1.0,328.26
309,176,164.8,Normal,Evening Peak,4.05,0.3,177,3.97,1.337,145.93
235,124,243.38,Normal,Morning Peak,2.92,0.1,136,8.89,1.431,267.87
71,94,154.01,Normal,Late Night,3.73,0.2,126,5.1,1.0,124.65
230,178,471.58,Normal,Evening Peak,3.56,0.2,133,22.08,1.016,394.67
151,169,110.93,Monsoon,Midday,3.72,0.0,106,2.69,1.0,104.56
96,161,356.26,Monsoon,Midday,5.0,0.0,85,18.94,1.0,368.75
90,130,256.79,Normal,Night,3.78,0.0,135,11.55,1.0,249.54
94,217,315.48,Exam,Midday,3.88,0.0,132,18.15,1.0,339.29
170,111,483.3,Monsoon,Midday,3.93,0.3,167,22.36,1.178,395.55
298,116,248.4,Festival,Morning Peak,5.0,0.3,123,9.15,1.897,287.56
330,136,197.93,Festival,Evening Peak,4.28,0.0,125,6.45,1.801,307.91
212,151,350.6,Normal,Evening Peak,4.7,0.1,124,16.61,1.092,333.27
279,163,521.45,Normal,Evening Peak,4.37,0.0,163,24.94,1.306,544.22
190,196,398.22,Normal,Morning Peak,3.51,0.2,116,18.51,1.0,330.86
177,150,412.06,Monsoon,Evening Peak,4.91,0.3,65,20.09,1.0,329.42
167,112,368.19,Normal,Evening Peak,4.46,0.1,86,16.12,1.15,355.48
165,206,232.66,Normal,Midday,4.25,0.2,180,9.84,1.0,195.77
84,150,334.48,Normal,Night,5.0,0.1,101,16.71,1.0,318.46
114,268,106.15,Normal,Midday,4.16,0.1,127,4.09,1.0,104.31
388,134,314.03,Wedding,Evening Peak,4.24,0.0,198,12.73,2.126,479.28
149,87,280.13,Monsoon,Morning Peak,4.16,0.2,83,14.75,1.301,283.23
223,204,468.01,Normal,Evening Peak,4.73,0.0,126,22.76,1.0,457.8
52,114,451.47,Normal,Late Night,4.63,0.2,122,23.07,1.0,401.85
66,78,98.85,Normal,Late Night,4.41,0.3,151,2.44,1.0,70.53
143,268,358.53,Normal,Midday,3.88,0.2,119,16.17,1.0,295.84
105,147,403.31,Normal,Midday,4.15,0.3,92,20.11,1.0,319.11
253,181,312.16,Normal,Morning Peak,3.88,0.3,141,13.87,1.089,240.16
138,95,105.28,Normal,Night,4.76,0.0,143,3.3,1.122,132.37
272,114,168.21,Festival,Evening Peak,3.67,0.3,112,6.59,1.77,231.56
244,162,232.55,Festival,Midday,4.94,0.0,144,8.53,1.164,215.59
210,198,357.61,Normal,Morning Peak,4.82,0.1,142,16.91,1.0,330.45
74,162,114.84,Normal,Night,3.93,0.1,102,2.57,1.0,94.17
